 Age,Male_NS,Male_S,Female_NS,Female_S
16,0.00085,0.00088,0.00044,0.00046
17,0.00099,0.00108,0.00047,0.00051
18,0.00106,0.00124,0.00048,0.00055
19,0.00109,0.00135,0.00051,0.00061
20,0.0011,0.00143,0.00051,0.00064
21,0.0011,0.00149,0.00052,0.00069
22,0.00111,0.00156,0.00055,0.00072
23,0.00111,0.00163,0.00055,0.00075
24,0.00112,0.00172,0.00057,0.0008
25,0.00113,0.00182,0.00058,0.00085
26,0.00117,0.00192,0.0006,0.00091
27,0.00123,0.00202,0.00065,0.00097
28,0.00122,0.00203,0.00067,0.00102
29,0.00119,0.00202,0.00071,0.0011
30,0.00118,0.00202,0.00072,0.00114
31,0.00116,0.00202,0.00077,0.00124
32,0.00116,0.00203,0.00081,0.00133
33,0.00118,0.00208,0.00086,0.00143
34,0.00121,0.00217,0.00094,0.00154
35,0.00125,0.00223,0.00102,0.00171
36,0.00131,0.00236,0.00108,0.00183
37,0.00137,0.00249,0.00117,0.002
38,0.00146,0.00268,0.00122,0.0021
39,0.00157,0.00287,0.00129,0.00223
40,0.00167,0.00309,0.00136,0.00236
41,0.00181,0.00338,0.00144,0.00252
42,0.00198,0.00372,0.00154,0.00271
43,0.00217,0.00412,0.00165,0.00293
44,0.0024,0.0046,0.00178,0.00319
45,0.00267,0.00511,0.00195,0.00349
46,0.00292,0.00559,0.00213,0.00383
47,0.0032,0.00611,0.00236,0.00424
48,0.00335,0.0064,0.00261,0.00477
49,0.00355,0.00673,0.00289,0.00536
50,0.00379,0.00719,0.0032,0.00599
51,0.00409,0.00774,0.00354,0.00668
52,0.00449,0.00848,0.00393,0.00742
53,0.00492,0.00933,0.00435,0.00822
54,0.00549,0.01039,0.00478,0.00906
55,0.00616,0.01158,0.00524,0.00996
56,0.00685,0.01278,0.00578,0.0109
57,0.0076,0.01405,0.00633,0.01191
58,0.00822,0.01504,0.00694,0.01287
59,0.00894,0.01617,0.00752,0.01395
60,0.00985,0.01762,0.00816,0.0151
61,0.01095,0.0194,0.00886,0.0163
62,0.01231,0.02156,0.00962,0.01766
63,0.01383,0.02395,0.0104,0.01901
64,0.01543,0.0264,0.01126,0.02043
65,0.01711,0.02882,0.01219,0.02199
66,0.01882,0.03115,0.01324,0.02365
67,0.02055,0.03341,0.01438,0.02551
68,0.02242,0.03579,0.01564,0.02755
69,0.02433,0.03814,0.01703,0.02977
70,0.02667,0.041,0.01859,0.03224
71,0.02928,0.04413,0.02035,0.03507
72,0.03273,0.04838,0.02233,0.03819
73,0.03635,0.05265,0.02448,0.04155
74,0.04017,0.05697,0.02683,0.04522
75,0.04433,0.062,0.02944,0.04892
76,0.04864,0.06709,0.03215,0.05276
77,0.05364,0.07297,0.03513,0.05686
78,0.05946,0.07976,0.03839,0.06126
79,0.06615,0.08747,0.04191,0.06602
80,0.07341,0.09565,0.0458,0.0711
81,0.08163,0.10479,0.05114,0.07832
82,0.09012,0.11393,0.05712,0.08612
83,0.09919,0.12346,0.06301,0.09364
84,0.1092,0.13377,0.06949,0.1017
85,0.12031,0.1459,0.07675,0.10974
86,0.13259,0.15912,0.08322,0.11631
87,0.14588,0.17326,0.09309,0.12692
88,0.16002,0.18803,0.1033,0.13741
89,0.17482,0.2032,0.11409,0.14789
90,0.19013,0.21856,0.12389,0.15617
91,0.2043,0.2322,0.12846,0.15745
92,0.21895,0.24601,0.13801,0.16463
93,0.23428,0.2602,0.15238,0.17649
94,0.25039,0.27485,0.17054,0.19173
95,0.26719,0.29105,0.19292,0.21497
96,0.28379,0.30633,0.21503,0.23691
97,0.30149,0.32244,0.23779,0.25895
98,0.32038,0.33945,0.24169,0.26001
99,0.34054,0.35742,0.25474,0.27077
100,0.3621,0.3764,0.27546,0.28927
101,0.37921,0.39078,0.29755,0.30903
102,0.39744,0.40592,0.32219,0.33078
103,0.41684,0.42183,0.34904,0.35411
104,0.43748,0.43857,0.3786,0.37941
105,0.45913,0.46015,0.41056,0.41132
106,0.48215,0.48311,0.44332,0.44403
107,0.50662,0.50751,0.47688,0.47753
108,0.53263,0.53344,0.51064,0.51124
109,0.56026,0.56101,0.5458,0.54635
110,0.58959,0.59027,0.58176,0.58226
111,0.62074,0.62136,0.61633,0.61678
112,0.6538,0.65435,0.64985,0.65025
113,0.68891,0.68938,0.68036,0.68072
114,0.72615,0.72656,0.72338,0.72369
115,0.76567,0.76601,0.7634,0.76366
116,0.80759,0.80786,0.80492,0.80512
117,0.85205,0.85226,0.85044,0.85059
118,0.89922,0.89935,0.89244,0.89254
119,0.94922,0.94929,0.93511,0.93516
120,1.0,1.0,1.0,1.0
